#BM MDM=OK*
#BM MSK=------------*
#BM TSS=OFF 16:00 ( 2q)  each 24h*
#BM TSM=NET 13:10 ( 1q)  each 01h*
#BM MES=0.33; ; V/m*
#BM IDN=490ZY30411;Nsts,AMB-8059-00; 2.29 11/22;490ZY30411;24.10.23;NET 13:10 ( 1q)  each 01h;OFF 16:00 ( 2q)  each 24h;------------;*
#BM MES=0.33; ; V/m*
#BM MDM=OK*
#BM SWI=OK*
#BM MDM=0*
#BM PRB=EP-1B-08:24.10.23; V/m:100.00:200.00:0.18:S*
Instrument time updated 10.47.12 - 26/03/24#BM PRB=EP-1B-08:24.10.23; V/m:100.00:200.00:0.18:S*
#BM EEM=OK*
Erasing Mobile Flash
#BM ERM=OK   40*
#BM *;
MES=0.32; ; ; ; V/m; 3.65V; $GPRMC,144812.167,V,,,,,0.00,0.00,260324,,,N*46;;-4.00;1.00;-3.00;28.40;65.19 -->26/03/24 10:48:13*;
MES=0.33; ; ; ; V/m; 3.65V; $GPRMC,144812.167,V,,,,,0.00,0.00,260324,,,N*46;;6.00;-1.00;0.00;28.40;65.19 -->26/03/24 10:48:13*;
MES=0.33; ; ; ; V/m; 3.65V; $GPRMC,144813.167,V,,,,,0.00,0.00,260324,,,N*47;;-4.00;0.00;2.00;28.40;65.19 -->26/03/24 10:48:13*;
MES=0.34; ; ; ; V/m; 3.65V; $GPRMC,144813.167,V,,,,,0.00,0.00,260324,,,N*47;;-2.00;1.00;-1.00;28.40;65.19 -->26/03/24 10:48:13*;
MES=0.31; ; ; ; V/m; 3.65V; $GPRMC,144813.167,V,,,,,0.00,0.00,260324,,,N*47;;3.00;-1.00;-1.00;28.40;65.19 -->26/03/24 10:48:14*;
MES=0.31; ; ; ; V/m; 3.65V; $GPRMC,144814.167,V,,,,,0.00,0.00,260324,,,N*40;;-2.00;3.00;-1.00;28.40;65.19 -->26/03/24 10:48:14*;
MES=0.31; ; ; ; V/m; 3.65V; $GPRMC,144814.167,V,,,,,0.00,0.00,260324,,,N*40;;3.00;-2.00;2.00;28.40;65.19 -->26/03/24 10:48:14*;
MES=0.32; ; ; ; V/m; 3.65V; $GPRMC,144814.167,V,,,,,0.00,0.00,260324,,,N*40;;0.00;-4.00;-1.00;28.40;65.19 -->26/03/24 10:48:14*;
MES=0.33; ; ; ; V/m; 3.65V; $GPRMC,144814.167,V,,,,,0.00,0.00,260324,,,N*40;;-5.00;4.00;0.00;28.40;65.19 -->26/03/24 10:48:15*;
MES=0.32; ; ; ; V/m; 3.65V; $GPRMC,144815.167,V,,,,,0.00,0.00,260324,,,N*41;;4.00;-1.00;1.00;28.40;65.19 -->26/03/24 10:48:15*;
MES=0.32; ; ; ; V/m; 3.65V; $GPRMC,144815.167,V,,,,,0.00,0.00,260324,,,N*41;;-11.00;-2.00;-1.00;28.40;65.19 -->26/03/24 10:48:15*;
MES=0.33; ; ; ; V/m; 3.65V; $GPRMC,144815.167,V,,,,,0.00,0.00,260324,,,N*41;;21.00;4.00;-1.00;28.40;65.19 -->26/03/24 10:48:15*;
MES=0.31; ; ; ; V/m; 3.65V; $GPRMC,144815.167,V,,,,,0.00,0.00,260324,,,N*41;;-18.00;0.00;-1.00;28.40;65.19 -->26/03/24 10:48:16*;
MES=0.31; ; ; ; V/m; 3.65V; $GPRMC,144816.167,V,,,,,0.00,0.00,260324,,,N*42;;11.00;-3.00;3.00;28.40;65.19 -->26/03/24 10:48:16*;
MES=0.32; ; ; ; V/m; 3.65V; $GPRMC,144816.167,V,,,,,0.00,0.00,260324,,,N*42;;-11.00;1.00;5.00;28.40;65.19 -->26/03/24 10:48:16*;
MES=0.32; ; ; ; V/m; 3.65V; $GPRMC,144816.167,V,,,,,0.00,0.00,260324,,,N*42;;7.00;0.00;-8.00;28.40;65.19 -->26/03/24 10:48:17*;
MES=0.32; ; ; ; V/m; 3.65V; $GPRMC,144816.167,V,,,,,0.00,0.00,260324,,,N*42;;-1.00;-3.00;-1.00;28.40;65.19 -->26/03/24 10:48:17*;
MES=0.33; ; ; ; V/m; 3.65V; $GPRMC,144817.167,V,,,,,0.00,0.00,260324,,,N*43;;7.00;2.00;8.00;28.40;65.19 -->26/03/24 10:48:17*;
MES=0.33; ; ; ; V/m; 3.65V; $GPRMC,144817.167,V,,,,,0.00,0.00,260324,,,N*43;;-4.00;1.00;-2.00;28.40;65.19 -->26/03/24 10:48:17*;
MES=0.32; ; ; ; V/m; 3.65V; $GPRMC,144817.167,V,,,,,0.00,0.00,260324,,,N*43;;-3.00;0.00;-7.00;28.40;65.19 -->26/03/24 10:48:18*;
MES=0.32; ; ; ; V/m; 3.65V; $GPRMC,144817.938,V,,,,,0.00,0.00,260324,,,N*41;;0.00;-1.00;7.00;28.40;65.19 -->26/03/24 10:48:18*;
MES=0.33; ; ; ; V/m; 3.65V; $GPRMC,144818.158,V,,,,,0.00,0.00,260324,,,N*40;;-4.00;5.00;-5.00;28.40;65.19 -->26/03/24 10:48:18*;
MES=0.32; ; ; ; V/m; 3.65V; $GPRMC,144818.158,V,,,,,0.00,0.00,260324,,,N*40;;8.00;-5.00;1.00;28.40;65.19 -->26/03/24 10:48:18*;
MES=0.32; ; ; ; V/m; 3.65V; $GPRMC,144818.158,V,,,,,0.00,0.00,260324,,,N*40;;-6.00;0.00;14.00;28.40;65.19 -->26/03/24 10:48:19*;
MES=0.33; ; ; ; V/m; 3.65V; $GPRMC,144819.307,V,,,,,0.00,0.00,260324,,,N*49;;-3.00;4.00;-15.00;28.40;65.19 -->26/03/24 10:48:19*;
MES=0.32; ; ; ; V/m; 3.65V; $GPRMC,144819.307,V,,,,,0.00,0.00,260324,,,N*49;;-4.00;-3.00;4.00;28.40;65.19 -->26/03/24 10:48:19*;
MES=0.32; ; ; ; V/m; 3.65V; $GPRMC,144819.307,V,,,,,0.00,0.00,260324,,,N*49;;2.00;1.00;-6.00;28.40;65.19 -->26/03/24 10:48:19*;
MES=0.32; ; ; ; V/m; 3.65V; $GPRMC,144819.307,V,,,,,0.00,0.00,260324,,,N*49;;8.00;1.00;6.00;28.40;65.19 -->26/03/24 10:48:20*;
MES=0.33; ; ; ; V/m; 3.65V; $GPRMC,144820.307,V,,,,,0.00,0.00,260324,,,N*43;;0.00;-3.00;-3.00;28.40;65.19 -->26/03/24 10:48:20*;
MES=0.34; ; ; ; V/m; 3.65V; $GPRMC,144820.307,V,,,,,0.00,0.00,260324,,,N*43;;-5.00;3.00;0.00;28.40;65.19 -->26/03/24 10:48:20*;
MES=0.32; ; ; ; V/m; 3.65V; $GPRMC,144820.307,V,,,,,0.00,0.00,260324,,,N*43;;7.00;-4.00;4.00;28.40;65.19 -->26/03/24 10:48:21*;
