MES=0.40; ; ; ; V/m; 3.59V; $GNRMC,120438.809,V,,,,,0.00,0.00,270324,,,N*5E;;-3.00;-3.00;-46.00;25.07;63.87 -->27/03/24 08:04:38*;
MES=0.38; ; ; ; V/m; 3.59V; $GNRMC,120439.809,V,,,,,0.00,0.00,270324,,,N*5F;;20.00;60.00;76.00;25.07;63.87 -->27/03/24 08:04:38*;
MES=0.36; ; ; ; V/m; 3.59V; $GNRMC,120439.809,V,,,,,0.00,0.00,270324,,,N*5F;;-25.00;-50.00;-17.00;25.07;63.87 -->27/03/24 08:04:39*;
MES=0.36; ; ; ; V/m; 3.59V; $GNRMC,120439.809,V,,,,,0.00,0.00,270324,,,N*5F;;-22.00;32.00;-53.00;25.07;63.87 -->27/03/24 08:04:39*;
MES=0.31; ; ; ; V/m; 3.59V; $GNRMC,120439.809,V,,,,,0.00,0.00,270324,,,N*5F;;52.00;-32.00;10.00;25.07;63.87 -->27/03/24 08:04:39*;
MES=0.31; ; ; ; V/m; 3.59V; $GNRMC,120440.809,V,,,,,0.00,0.00,270324,,,N*51;;-11.00;-4.00;24.00;25.07;63.87 -->27/03/24 08:04:39*;
MES=0.34; ; ; ; V/m; 3.59V; $GNRMC,120440.809,V,,,,,0.00,0.00,270324,,,N*51;;-40.00;-36.00;-26.00;25.07;63.87 -->27/03/24 08:04:40*;
MES=0.32; ; ; ; V/m; 3.59V; $GNRMC,120440.809,V,,,,,0.00,0.00,270324,,,N*51;;54.00;54.00;24.00;25.07;63.87 -->27/03/24 08:04:40*;
MES=0.32; ; ; ; V/m; 3.59V; $GNRMC,120440.809,V,,,,,0.00,0.00,270324,,,N*51;;-42.00;-54.00;-17.00;25.07;63.87 -->27/03/24 08:04:40*;
MES=0.31; ; ; ; V/m; 3.59V; $GNRMC,120441.809,V,,,,,0.00,0.00,270324,,,N*50;;-31.00;20.00;17.00;25.07;63.87 -->27/03/24 08:04:41*;
MES=0.31; ; ; ; V/m; 3.59V; $GNRMC,120442.021,V,,,,,0.00,0.00,270324,,,N*51;;56.00;15.00;4.00;25.07;63.87 -->27/03/24 08:04:41*;
MES=0.32; ; ; ; V/m; 3.59V; $GNRMC,120442.021,V,,,,,0.00,0.00,270324,,,N*51;;17.00;22.00;8.00;25.07;63.87 -->27/03/24 08:04:41*;
MES=0.32; ; ; ; V/m; 3.59V; $GNRMC,120442.021,V,,,,,0.00,0.00,270324,,,N*51;;-71.00;-50.00;-55.00;25.07;63.87 -->27/03/24 08:04:41*;
MES=0.36; ; ; ; V/m; 3.59V; $GNRMC,120443.021,V,,,,,0.00,0.00,270324,,,N*50;;97.00;26.00;88.00;25.07;63.87 -->27/03/24 08:04:42*;
MES=0.41; ; ; ; V/m; 3.59V; $GNRMC,120443.021,V,,,,,0.00,0.00,270324,,,N*50;;-39.00;-39.00;-3.00;25.07;63.87 -->27/03/24 08:04:42*;
MES=0.41; ; ; ; V/m; 3.59V; $GNRMC,120443.021,V,,,,,0.00,0.00,270324,,,N*50;;-6.00;31.00;-20.00;25.07;63.87 -->27/03/24 08:04:42*;
MES=0.47; ; ; ; V/m; 3.59V; $GNRMC,120443.021,V,,,,,0.00,0.00,270324,,,N*50;;10.00;20.00;22.00;25.07;63.87 -->27/03/24 08:04:42*;
MES=0.50; ; ; ; V/m; 3.59V; $GNRMC,120444.117,V,,,,,0.00,0.00,270324,,,N*53;;-3.00;-24.00;-16.00;25.07;63.87 -->27/03/24 08:04:43*;
