#BM MDM=OK*
#BM MSK=------------*
#BM TSS=OFF 16:00 ( 2q)  each 24h*
#BM TSM=NET 14:30 ( 1q)  each 04h*
#BM MES=1.20; ; V/m*
#BM IDN=490ZY30412;Nsts,AMB-8059-00; 2.29 11/22;490ZY30412;07.06.23;NET 14:30 ( 1q)  each 04h;OFF 16:00 ( 2q)  each 24h;--L---------;*
#BM MES=0.89; ; V/m*
#BM MDM=OK*
#BM SWI=OK*
#BM MDM=0*
#BM PRB=EP-1B-08:07.06.23; V/m:100.00:200.00:0.18:S*
Instrument time updated 13.17.39 - 28/02/24#BM PRB=EP-1B-08:07.06.23; V/m:100.00:200.00:0.18:S*
#BM EEM=OK*
Erasing Mobile Flash
#BM ERM=OK   40*
#BM *;
MES=0.97; ; ; ; V/m; 3.62V; $GNRMC,171848.110,A,2027.3192,S,05436.5419,W,0.45,186.16,280224,,,A*78;;-1.00;0.00;2.00;27.62;36.78 -->28/02/24 13:18:44*;
MES=0.97; ; ; ; V/m; 3.62V; $GNRMC,171848.110,A,2027.3192,S,05436.5419,W,0.45,186.16,280224,,,A*78;;2.00;-2.00;-2.00;27.62;36.78 -->28/02/24 13:18:44*;
MES=0.97; ; ; ; V/m; 3.62V; $GNRMC,171849.110,A,2027.3189,S,05436.5421,W,0.27,186.16,280224,,,A*7C;;-3.00;2.00;0.00;27.62;36.78 -->28/02/24 13:18:44*;
MES=1.07; ; ; ; V/m; 3.62V; $GNRMC,171849.110,A,2027.3189,S,05436.5421,W,0.27,186.16,280224,,,A*7C;;2.00;-3.00;-2.00;27.62;36.78 -->28/02/24 13:18:45*;
MES=1.10; ; ; ; V/m; 3.62V; $GNRMC,171849.110,A,2027.3189,S,05436.5421,W,0.27,186.16,280224,,,A*7C;;0.00;-2.00;1.00;27.62;36.78 -->28/02/24 13:18:45*;
MES=0.95; ; ; ; V/m; 3.62V; $GNRMC,171850.111,A,2027.3186,S,05436.5423,W,0.28,186.16,280224,,,A*77;;0.00;4.00;2.00;27.62;36.78 -->28/02/24 13:18:45*;
MES=0.87; ; ; ; V/m; 3.62V; $GNRMC,171850.111,A,2027.3186,S,05436.5423,W,0.28,186.16,280224,,,A*77;;0.00;4.00;-1.00;27.62;36.78 -->28/02/24 13:18:46*;
MES=0.84; ; ; ; V/m; 3.61V; $GNRMC,171850.111,A,2027.3186,S,05436.5423,W,0.28,186.16,280224,,,A*77;;0.00;-8.00;-2.00;27.62;36.78 -->28/02/24 13:18:46*;
MES=0.84; ; ; ; V/m; 3.61V; $GNRMC,171850.111,A,2027.3186,S,05436.5423,W,0.28,186.16,280224,,,A*77;;0.00;4.00;1.00;27.62;36.78 -->28/02/24 13:18:46*;
MES=0.87; ; ; ; V/m; 3.61V; $GNRMC,171851.113,A,2027.3182,S,05436.5422,W,0.26,186.16,280224,,,A*7F;;0.00;0.00;0.00;27.62;36.78 -->28/02/24 13:18:46*;
