Date:;Time;Value;GPGGA;gps_time;lat;N/S;lon;E/O;fix;number_satellites;diution;height;M;geoid_height;M;;*CRC;GPGSA;A;3D_fix;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PDOP;HDOP;VDOP*CRC
07/03/2024;08:54:46;0.78;$GPGGA;115221.0;1.352.361.188;S;4.004.607.428;W;1;11;0.8;205.6;M;-10.0;M;;*7D;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
07/03/2024;08:54:47;0.79;$GPGGA;115222.0;1.352.360.966;S;4.004.606.322;W;1;11;0.8;205.4;M;-10.0;M;;*79;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.6;0.8;1.4*3D
07/03/2024;08:54:48;0.81;$GPGGA;115223.0;1.352.360.816;S;4.004.605.034;W;1;11;0.8;205.4;M;-10.0;M;;*79;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.6;0.8;1.4*3D
07/03/2024;08:54:49;0.77;$GPGGA;115224.0;1.352.360.703;S;4.004.603.755;W;1;11;0.8;204.7;M;-10.0;M;;*71;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
07/03/2024;08:54:50;0.77;$GPGGA;115225.0;1.352.360.477;S;4.004.602.285;W;1;11;0.8;204.4;M;-10.0;M;;*7A;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.6;0.8;1.4*3D
07/03/2024;08:54:51;0.79;$GPGGA;115226.0;1.352.360.325;S;4.004.600.972;W;1;11;0.8;204.5;M;-10.0;M;;*79;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
07/03/2024;08:54:52;0.77;$GPGGA;115227.0;1.352.360.074;S;4.004.599.559;W;1;11;0.8;204.4;M;-10.0;M;;*78;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
07/03/2024;08:54:53;0.75;$GPGGA;115228.0;1.352.359.674;S;4.004.598.023;W;1;11;0.8;204.1;M;-10.0;M;;*77;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.6;0.8;1.4*3D
07/03/2024;08:54:54;0.76;$GPGGA;115229.0;1.352.359.360;S;4.004.596.562;W;1;11;0.8;204.0;M;-10.0;M;;*79;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
07/03/2024;08:54:55;0.79;$GPGGA;115230.0;1.352.359.026;S;4.004.595.055;W;1;11;0.8;203.7;M;-10.0;M;;*72;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.6;0.8;1.4*3D
07/03/2024;08:54:56;0.76;$GPGGA;115231.0;1.352.358.543;S;4.004.593.381;W;1;11;0.8;203.5;M;-10.0;M;;*7A;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
07/03/2024;08:54:57;0.75;$GPGGA;115232.0;1.352.358.226;S;4.004.591.629;W;1;11;0.8;203.6;M;-10.0;M;;*7B;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
07/03/2024;08:54:58;0.79;$GPGGA;115233.0;1.352.357.817;S;4.004.589.675;W;1;11;0.8;203.3;M;-10.0;M;;*78;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
07/03/2024;08:54:59;0.76;$GPGGA;115234.0;1.352.357.434;S;4.004.587.771;W;1;11;0.8;203.3;M;-10.0;M;;*79;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
07/03/2024;08:55:00;0.75;$GPGGA;115235.0;1.352.357.174;S;4.004.585.765;W;1;11;0.8;203.5;M;-10.0;M;;*78;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
