ID;Unidade regional;UF;Município;Serviço;N° Fistel;N° da Estacao;Latitude da Estação;Longitude da Estação
60;GR01;SP;Campinas;SERVIÇO LIMITADO PRIVADO DE RADIOCHAMADA-SLPR;50014082705;684425211;-22,902222;-47,055832
61;GR01;SP;Campinas;Limitado Privado - Prestação a terceiros;50419070133;1010416941;-22,868269;-47,155724
62;GR01;SP;Campinas;Limitado Privado;50417179405;402953223;-22,878332;-47,0725
63;GR01;SP;Campinas;Limitado Privado;50408826290;1014206836;-22,939745;-47,184128
64;GR01;SP;Campinas;Limitado Privado;50417676450;1008959259;-22,901028;-47,041695
65;GR01;SP;Campinas;Limitado Privado;50403450381;1012399068;-22,90278;-47,04081
66;GR01;SP;Campinas;Limitado Privado;50414197950;1003531650;-22,884338;-46,96577
67;GR01;SP;Campinas;Limitado Privado;50406472807;692037470;-22,862526;-47,052784
68;GR01;SP;Campinas;Limitado Privado;50000941824;1003885389;-22,889597;-47,123253
69;GR01;SP;Campinas;Limitado Privado;50000941824;1004700722;-22,917025;-47,073975
70;GR01;SP;Campinas;Limitado Privado;50418766738;1014815565;-22,89298;-47,12038
71;GR01;SP;Guarulhos;Radiodifusão Comunitária;50405702604;692938907;-23,455555;-46,56889
72;GR01;SP;Guarulhos;Radiodifusão Comunitária;50402090292;686825853;-23,450556;-46,477222
73;GR01;SP;Guarulhos;Radiodifusão Comunitária;50403983797;690797699;-23,496666;-46,553055
74;GR01;SP;Guarulhos;Radiodifusão Sonora em Freqüência Modulada;2008035301;7806418;-23,455278;-46,532776
75;GR01;SP;Guarulhos;Radiodifusão Sonora em Onda Média;2030457426;9156410;-23,442778;-46,390556
76;GR01;SP;Guarulhos;Radiodifusão Comunitária;50405748515;693052767;-23,4075;-46,414444
77;GR01;SP;Guarulhos;Radiodifusão Sonora em Onda Média;2030458317;9156500;-23,473333;-46,39611
78;GR01;SP;Guarulhos;Radiodifusão Comunitária;50405740379;691942676;-23,426666;-46,545
79;GR01;SP;Guarulhos;Radiodifusão Comunitária;50404493050;699331676;-23,401945;-46,467224
80;GR01;SP;Guarulhos;Radiodifusão Sonora em Onda Média;2008007367;7803672;-23,437695;-46,543945
81;GR01;SP;Guarulhos;SERVIÇO MOVEL PESSOAL;50010613854;641204892;-23,4538;-46,5333
82;GR01;SP;Guarulhos;SERVIÇO MOVEL PESSOAL;50010613854;641205066;-23,4538;-46,5333
83;GR01;SP;Guarulhos;SERVIÇO MOVEL PESSOAL;50409146447;137987;-23,4538;-46,5333
84;GR01;SP;Guarulhos;SERVIÇO MOVEL PESSOAL;50409146447;379970783;-23,4538;-46,5333
85;GR01;SP;Guarulhos;SERVIÇO MOVEL PESSOAL;50409105090;1246178;-23,4538;-46,5333
86;GR01;SP;Guarulhos;SERVIÇO LIMITADO PRIVADO DE RADIOCHAMADA-SLPR;50012431494;682623970;-23,459028;-46,4965
87;GR01;SP;Guarulhos;SERVIÇO ESPECIAL DE RADIOCHAMADA;50404029612;5367611;-23,46889;-46,517776
