ID;Unidade regional;UF;Município;Serviço;N° Fistel;N° da Estacao;Latitude da Estação;Longitude da Estação;Data da Medição;Valor Medido (V/m);Latitude do maior valor Medido;Longitude do maior valor Medido;N° de Medidas acima de 14 V/M;Justificativa (apenas para estações sem medições);Observações;Distância (km)
42;GR01;SP;Caçapava;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;50005543703;522990762;-23,1;-45,705555;;;;;;;Sem medição, sem justificativa;
43;GR01;SP;Caçapava;Limitado Privado;50417179405;1014455119;-23,1841;-45,7274;;;;;;;Sem medição, sem justificativa;
44;GR01;SP;Caçapava;Limitado Privado;50001253638;1014612354;-23,09955;-45,706486;;;;;;;Sem medição, sem justificativa;
45;GR01;SP;Caçapava;Limitado Privado;50418766738;1014994907;-23,10918;-45,72308;;;;;;;Sem medição, sem justificativa;
46;GR01;SP;Caçapava;Limitado Privado;2020378353;1001258867;-23,102827;-45,70697;;;;;;;Sem medição, sem justificativa;
47;GR01;SP;Caçapava;Limitado Privado;50000403504;1010438171;-23,104445;-45,704945;;;;;;;Sem medição, sem justificativa;
48;GR01;SP;Caçapava;Limitado Privado;50001253638;1002326351;-23,099833;-45,708584;;;;;;;Sem medição, sem justificativa;
49;GR01;SP;Campinas;Radiodifusão Sonora em Onda Média;2008018725;7804814;-22,987167;-47,086277;;;;;;;Sem medição, sem justificativa;
50;GR01;SP;Campinas;Radiodifusão Sonora em Freqüência Modulada;2008013685;7804300;-22,902222;-47,06;;;;;;;Sem medição, sem justificativa;
51;GR01;SP;Campinas;Radiodifusão Comunitária;50404342868;1003828725;-22,858612;-47,107777;;;;;;;Sem medição, sem justificativa;
52;GR01;SP;Campinas;Radiodifusão Comunitária;50403187230;689127120;-22,920834;-47,018055;;;;;;;Sem medição, sem justificativa;
53;GR01;SP;Campinas;Radiodifusão Sonora em Onda Média;2008020118;7804938;-22,876389;-47,07;;;;;;;Sem medição, sem justificativa;
54;GR01;SP;Campinas;Radiodifusão Comunitária;50405684606;692194975;-22,948055;-47,185;;;;;;;Sem medição, sem justificativa;
55;GR01;SP;Campinas;Radiodifusão Sonora em Onda Média;2008007871;7803729;-22,947779;-47,018055;;;;;;;Sem medição, sem justificativa;
56;GR01;SP;Campinas;Radiodifusão Sonora em Onda Média;2008034763;7806353;-22,957945;-47,08178;;;;;;;Sem medição, sem justificativa;
57;GR01;SP;Campinas;Radiodifusão Comunitária;50011850256;659058189;-22,965279;-47,134167;;;;;;;Sem medição, sem justificativa;
58;GR01;SP;Campinas;Radiodifusão Comunitária;50012302333;679345981;-22,965279;-47,134167;;;;;;;Sem medição, sem justificativa;
59;GR01;SP;Campinas;Radiodifusão Comunitária;50416310699;1011031903;-22,876112;-47,031387;;;;;;;Sem medição, sem justificativa;
60;GR01;SP;Campinas;SERVIÇO LIMITADO PRIVADO DE RADIOCHAMADA-SLPR;50014082705;684425211;-22,902222;-47,055832;;;;;;;Sem medição, sem justificativa;
61;GR01;SP;Campinas;Limitado Privado - Prestação a terceiros;50419070133;1010416941;-22,868269;-47,155724;;;;;;;Sem medição, sem justificativa;
62;GR01;SP;Campinas;Limitado Privado;50417179405;402953223;-22,878332;-47,0725;;;;;;;Sem medição, sem justificativa;
63;GR01;SP;Campinas;Limitado Privado;50408826290;1014206836;-22,939745;-47,184128;;;;;;;Sem medição, sem justificativa;
64;GR01;SP;Campinas;Limitado Privado;50417676450;1008959259;-22,901028;-47,041695;;;;;;;Sem medição, sem justificativa;
65;GR01;SP;Campinas;Limitado Privado;50403450381;1012399068;-22,90278;-47,04081;;;;;;;Sem medição, sem justificativa;
66;GR01;SP;Campinas;Limitado Privado;50414197950;1003531650;-22,884338;-46,96577;;;;;;;Sem medição, sem justificativa;
67;GR01;SP;Campinas;Limitado Privado;50406472807;692037470;-22,862526;-47,052784;;;;;;;Sem medição, sem justificativa;
68;GR01;SP;Campinas;Limitado Privado;50000941824;1003885389;-22,889597;-47,123253;;;;;;;Sem medição, sem justificativa;
69;GR01;SP;Campinas;Limitado Privado;50000941824;1004700722;-22,917025;-47,073975;;;;;;;Sem medição, sem justificativa;
70;GR01;SP;Campinas;Limitado Privado;50418766738;1014815565;-22,89298;-47,12038;;;;;;;Sem medição, sem justificativa;
71;GR01;SP;Guarulhos;Radiodifusão Comunitária;50405702604;692938907;-23,455555;-46,56889;;;;;;;Sem medição, sem justificativa;
72;GR01;SP;Guarulhos;Radiodifusão Comunitária;50402090292;686825853;-23,450556;-46,477222;;;;;;;Sem medição, sem justificativa;
73;GR01;SP;Guarulhos;Radiodifusão Comunitária;50403983797;690797699;-23,496666;-46,553055;;;;;;;Sem medição, sem justificativa;
74;GR01;SP;Guarulhos;Radiodifusão Sonora em Freqüência Modulada;2008035301;7806418;-23,455278;-46,532776;;;;;;;Sem medição, sem justificativa;
75;GR01;SP;Guarulhos;Radiodifusão Sonora em Onda Média;2030457426;9156410;-23,442778;-46,390556;;;;;;;Sem medição, sem justificativa;
76;GR01;SP;Guarulhos;Radiodifusão Comunitária;50405748515;693052767;-23,4075;-46,414444;;;;;;;Sem medição, sem justificativa;
77;GR01;SP;Guarulhos;Radiodifusão Sonora em Onda Média;2030458317;9156500;-23,473333;-46,39611;;;;;;;Sem medição, sem justificativa;
78;GR01;SP;Guarulhos;Radiodifusão Comunitária;50405740379;691942676;-23,426666;-46,545;;;;;;;Sem medição, sem justificativa;
79;GR01;SP;Guarulhos;Radiodifusão Comunitária;50404493050;699331676;-23,401945;-46,467224;;;;;;;Sem medição, sem justificativa;
